title,jobDescrib,companyName,companyIndustry,companyScal,companyTage,companyLocation,jobUrl,salary,publicDate,degree
python后台开发,"['岗位职责：', '1.\xa0负责完成系统及平台功能开发、维护\xa0', '2.\xa0根据原型需求完成系统接口开发\xa03.\xa0维护和升级现有系统服务，快速定位并修复系统\xa04.\xa0编写接口文档', '任职资格：', '1.\xa0本科以上学历，5年以上Python\xa0Web开发经验，熟练掌握Django框架和常用的第3方库', '2.\xa0熟悉MySQL/Redis/MongoDB等数据库及相关操作\xa0', '3.\xa0熟悉Linux\xa0操作系统及常用命令，熟悉Shell', '4.\xa0熟悉Docker，能够使用Docker部署应用Python/Django项目\xa0', '5.\xa0熟悉TCP/IP，HTTP等网络协议，掌握网络编程', '6.\xa0熟练使用常见的设计原则、设计模式、编码规范\xa0', '7.\xa0较强的学习能力和责任心，良好的沟通能力、文档编写能力', '改岗位是人力外派，不能接受者勿扰']",深圳兴融联科技股份有限公司,['150-500人'],"['计算机软件,计算机服务(系统、数据服务、维修)']",深圳-南山区,https://jobs.51job.com/shenzhen-nsq/115363555.html?s=01&t=0,1.5-1.8万/月,06-08,"['深圳-南山区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-08发布']"
Python数据开发,"['【工作职责】', '1.负责投资研究数据分析及相关组件开发', '2.数据自动化工具开发', '【岗位要求】', '1.熟练掌握Python语言，数据结构功底扎实，1年以上python开发经验；', '2.熟悉python数据分析、文档解析的常用工具；熟悉正则表达式；有OCR工具开发优化经验者优先；', '3.熟练掌握sql，有Oracle/Mysql/SqlServer使用经验；有数据清洗、ETL构建等大数据开发经验者优先；', '4.具备较强的责任心，工作认真负责；', '5.良好的语言表达和沟通能力，良好的团队合作精神；']",南京巨美生活信息科技有限公司,['50-150人'],"['计算机软件,互联网/电子商务']",深圳-福田区,https://jobs.51job.com/shenzhen-ftq/120147086.html?s=01&t=0,1-2万/月,06-08,"['深圳-福田区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-08发布']"
Python后端/爬虫（可应届）,"['    【岗位职责】：', '      1、负责协同开发人员完成项目开发，效率准确的完成协作；', '      2、关注性能，提交报告，提升用户体验；', '      3、主要负责Web开发和维护，会涉及到小部分爬虫和脚本的开发，以及部分数据的清洗分析。', '      【岗位要求】：', '      1、大专及以上学历，男女不限；', '      2、年龄18-30，星座不限；', '      3、此岗位为初级岗，接受优秀应届毕业生或实习生；', '      4、能够熟练使用python，java等任一编程语言；', '      5、对Django和Flask框架有基础的优先考虑。  ']",明哲,['少于50人'],"['快速消费品(食品、饮料、化妆品),专业服务(咨询、人力资源、财会)']",深圳-南山区,https://jobs.51job.com/shenzhen-nsq/122589306.html?s=01&t=0,0.8-1.2万/月,06-08,"['深圳-南山区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-08发布']"
Python高级开发工程师,"['【岗位职责】：', '1. 参与平台日常新需求的开发设计；', '2. 对平台现有基础服务进行维护以及优化升级 ；', '3. 负责后台开发的日常管理工作。', '【任职要求】：', '1. 全日制本科及以上学历，软件开发相关专业；', '2.精通Python编程，有较出色代码能力；', '3. 熟悉并掌握一到两个python的主流web框架，包括flask、django等并至少对其中一个有较深的理解 ；', '4. 熟练掌握mysql等关系型数据库的使用，对sql语法有一定的了解，并能对其进行调优 ；', '5. 熟悉redis使用，有包括常用数据结构的使用，数据持久化等的经验 ；', '6. 有分布式流程处理的经验，熟悉mq的使用 ，了解es使用优先；', '7. 熟悉git的使用，有过较为成熟的项目流程协作经验 ；', '8. 熟悉Linux操作系统的使用，并有独立部署项目排查问题的能力。 ', '9. 有参与过大型web项目的设计、开发与维护；有过分布式、高并发的开发经验', '有意向转python的Java或C#的小伙伴也欢迎哦～～～']",深圳市烁视科技发展有限公司,['50-150人'],"['计算机硬件,互联网/电子商务']",深圳-南山区,https://jobs.51job.com/shenzhen-nsq/122710297.html?s=01&t=0,2.5-3万/月,06-08,"['深圳-南山区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-08发布']"
python高级工程师,"['1、本科计算机相关专业，40周岁以下', '2、3年以上python开发经验及Web系统开发经验；', '3、精通linux/Unix常用操作命令，网络配置', '4、精通python\xa0GUI编程，精通PySide优先', '5、精通网络编程，TCP/IP协议', '6、精通图像处理，熟悉Tensor\xa0Flow，OCR识别', '7、熟悉SQL，熟悉Orcale、DB2、SQLSERVER、Mysql数据库应用开发中至少一个，拥有优秀的数据库设计能力', '8、熟悉网络编程、物联网软件开发相关经验者优先', '9、熟悉linux/Unix常用操作命令', '熟悉SQL，熟悉Orcale、DB2、SQLSERVER、Mysql数据库应用开发中至少一个，拥有优秀的数据库设计能力']",深圳市双盈电子科技有限公司,['50-150人'],['电子技术/半导体/集成电路'],异地招聘,https://jobs.51job.com/xian-ytq/121330285.html?s=01&t=0,6-8千/月,06-08,"['西安-雁塔区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招5人\xa0\xa0', '\xa0\xa006-08发布']"
python开发 R,"['驻场到：深信服', '工作地点：南山区学苑大道1001号南山智园A1栋', '岗位职责：', '1、负责公司研发体系核心业务系统产品开发；', '2、配合团队其他成员设计前后端接口，并进行后端功能开发。', '任职要求：', '1、本科及以上学历，计算机、数学等相关专业，1年以上相关经验；', '2、熟练使用Python语言，熟悉常用的python相关技术（flask、django、mysql/mongoDB、Redis等）；', '3、熟悉MySQL/PostgreSQL/Redis/MongoDB；', '4、熟悉Linix操作系统，熟练shell编程，能够独立完成项目上线、平台搭建等常用操作；', '5、较强的编码能力；', '6、良好的沟通能力、文档编写能力，有github开源项目者优先；']",同方鼎欣科技股份有限公司,['1000-5000人'],['计算机软件'],深圳-南山区,https://jobs.51job.com/shenzhen-nsq/122599786.html?s=01&t=0,0.9-1.1万/月,06-08,"['深圳-南山区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-08发布']"
Python中级开发工程师,"['一、岗位职责：', '1.\xa0负责遗传疾病智能诊断平台AEGIS后端开发工作，主要编程语言是Python；', '2. 负责遗传病数据管理平台的开发；', '3. 负责实验室管理系统开发；']",安吉康尔（深圳）科技有限公司,['150-500人'],"['医疗/护理/卫生,制药/生物工程']",深圳-龙华新区,https://jobs.51job.com/shenzhen-lhxq/118388621.html?s=01&t=0,1.2-2万/月,06-08,"['深圳-龙华新区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-08发布']"
Python开发工程师（深圳）,[],深圳航天科创实业有限公司,[''],['航天/航空'],深圳,https://jobs.51job.com/shenzhen/121597432.html?s=01&t=0,0.8-1万/月,06-08,"['深圳\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-08发布\xa0\xa0', '\xa0\xa0软件工程']"
Python开发工程师(J13862),"['工作职责:', '1、完成安排RPA流程机器人的流程开发，软件调试、改错与优化 ；', '2、收集整理业务部门需求，并将需求通过开发进行实现；', '3、做好单元测试，确保自身开发质量；', '4、熟悉RPA产品运作模式，产品优势特点，做RPA产品的推广。', '任职资格:', '1、精通PYthon编程，熟悉java语言，有项目2年以上开发经验；', '2、熟悉ORACLE/DB2/MYSQL数据库和相关编程技术，熟悉数据库设计理论和SQL编写与优化，及分布式数据库技术；', '3、熟悉MQ/TLQ/SOCKET编程；', '4、熟悉AIX/Linux操作系统的内存管理、文件系统、进程线程调度；', '5、有扎实的计算机算法的基本功，有良好的编码习惯和技术文档编写能力；', '6、具备良好的学习能力和分析解决问题能力；', '7、责任心强，良好的对外沟通和团队协作能力；', '8、有以下经验者优先考虑：', '精通自动化脚本开发经验优先，精通办公流程优先，如OA、项目管理系统、财务系统、人资系统等；有跨平台开发经验者优先。']",银雁科技服务集团股份有限公司,['10000人以上'],"['金融/投资/证券,专业服务(咨询、人力资源、财会)']",深圳-福田区,https://jobs.51job.com/shenzhen-ftq/122668066.html?s=01&t=0,0.8-1.2万/月,06-08,"['深圳-福田区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-08发布']"
Python开发工程师,"['1、计算机相关专业，本科及以上学历，重点院校优先', '2、1到3年python开发经验；', '3、熟悉Linux系统，熟练使用shell命令', '4、熟悉通信、网络、计算机等领域相关术语', '5、能够搭建和迁移服务器环境']",深圳市达旭投资有限公司,['10000人以上'],"['计算机软件,计算机服务(系统、数据服务、维修)']",深圳-龙岗区,https://jobs.51job.com/shenzhen-lgq/122102838.html?s=01&t=0,1.5-2.5万/月,06-08,"['深圳-龙岗区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa006-08发布']"
