title,jobDescrib,companyName,companyIndustry,companyType,companyScal,companyTage,companyLocation,jobUrl
算法研究员, 岗位职责： 1、深入行业研究和企业研究，掌握行业动态及变化规律，掌握企业研究方法及核心关注点，结合数量化工具，为智能投研提出建议； 2、熟悉人工智能前沿领域，掌握机器学习和深度学习最新技术、思想，运用算法解决实践问题，在相关领域有独立研发经验者优先。 任职要求： 1、硕士及以上学历，理工科+金融复合背景优先，2021年应届毕业生； 2、具有严密的逻辑思维能力、数学推导能力和编程能力，学习能力强，踏实勤奋，抗压能力强，具备良好的团队协作能力及沟通理解能力。 ,天弘基金,金融 经济 投资 财会 ,"民营企业
",500-2000人 , 团队幽默友善 牛人同事 团队氛围超赞 富有挑战 与成功者为伴 ,北京市/北京 ,https://www.shixiseng.com/intern/inn_wukddx4qffqx?pcm=pc_SearchList
机器人控制算法工程师, 岗位职责： 1. 能够独立完成机器人的视觉伺服控制器的开发和调试； 2. 能够独立完成基于六维力（力矩）传感器的机器人的柔顺控制； 3. 按照项目需求独立或合作完成机械臂控制程序的修改、调试并提交。   岗位要求： 1. 自动化、控制工程、计算机、机器人、机械电子等相关专业； 2. 理解坐标空间变换原理，熟悉机器人运动学与动力学建模原理，具有视觉伺服控制、柔顺（阻抗）控制等研发经验； 3. 掌握常用运动控制、轨迹规划和避障算法，熟练掌握C++开发，实践经验丰富； 4. 有ROS开发经验，熟悉计算机视觉和目标跟踪算法者优先； 5. 有ABB机器人和AGV导航等开发经验者优先。   -工作地点：北京市朝阳区酒仙桥恒通商务园（地铁站附近，并有多趟公司班车路线） ,ABB,企业服务 咨询 ,"外资企业
",2000人以上 , 实习 500强 ,北京 ,https://www.shixiseng.com/intern/inn_cod91qyknsa9?pcm=pc_SearchList
计算机视觉AI实习生," 【500强】ABB中国研究院 招聘 计算机视觉 AI方向【实习生】 ABB作为全球500强公司之一，在电力设备、工业自动化领域一直占据全球领先地位。ABB在全球100多个国家设立了分支机构，雇员超过130, 000人。ABB(中国)研究院是ABB的全球7大研究院之一，在工业大数据、工业人工智能等领域一直从事开拓性的研发工作。   工作性质：研发实习生，只招聘在校学生 时间：原则上一周至少工作3天，至少3个月（具体可根据任务情况调整，实习时间长者优先） 待遇：根据具体工作时间浮动，约2-4k每月 地点：北京市朝阳区酒仙桥路10号恒通商务园 B21座   工作职责： 经典2D、3D视觉以及AI在工业领域的应用； 计算机视觉算法的开发与调试； 数据处理，文献搜索，内部分享等。   要求： - 专业不限； - 在读本科、硕士或博士研究生； - 熟练使用Python, C/C++, MATLAB中的一种或多种； - 熟悉2D&3D计算机视觉常用算法的原理，熟悉经典机器学习，深度学习的原理和应用； - 时长： ≥ 3月, 更长时间者优先； - 福利：公司在将台站附近，免费班车：北京市有多趟公司班车路线。 ",ABB,企业服务 咨询 ,"外资企业
",2000人以上 , 实习 500强 ,北京 ,https://www.shixiseng.com/intern/inn_ds2mqgbtagwo?pcm=pc_SearchList
自动驾驶视觉见习研究员, 岗位职责： 负责自动驾驶的研究工作，方向涉及：图像分割&检测 &Lidar分割&3D检测方向 任职要求： 1、 对于CV的检测或者分割算法有比较深刻的了解。 2、 有扎实的代码基础，熟练掌握python和C++，熟练掌握至少一种深度学习框架。 3、 实习时间半年或以上，能保证每周30小时以上的实习时间（北京，上海）。 4、 有顶会论文，Kaggle竞赛以及相关竞赛经历者优先，ACM竞赛获奖者优先。 ,SenseTime商汤科技,互联网 游戏 软件 ,"民营企业
",2000人以上 , 工作氛围活泼 快乐的大家庭 零食水果 同大牛交流 免费水果 晋升机会多 快速发展 收获大 环境好氛围好 超有爱 ,北京 ,https://www.shixiseng.com/intern/inn_k49isp5huom1?pcm=pc_SearchList
CV计算机视觉实习生, 部门： 工作职责：       1，负责图像、视频中的商品识别、标签生成、相似检索等任务。 2，AI赋能时尚领域中的新技术新算法跟进    职位要求：       1. 工作细心，学习能力强，有良好的团队合作精神。 2. 有计算机视觉和图像处理经验者优先。 3. 熟悉PyTorch/TensorFlow/Caffe/MxNet框架，会C++或python编程者优先。 4. 对计算机视觉和深度学习算法有比较深刻的理解，熟悉检测、分割、识别等任务中的至少一种，有场景解析、细粒度分类等工作经验者优先  5. 熟悉OpenGL/Cuda编程者优先。 6. 发表过计算机视觉/图像处理领域知名会议或期刊文章优先。 7. 实习期至少3个月，每周至少3天。 ,极睿科技 INFIMIND,互联网 游戏 软件 ,"民营企业
",50-150人 , 贴心午餐 效率高 活跃的氛围 快乐实习 有咖啡店 创业型公司 研发 顶级VC投资 零食饮品 零食饮品 ,北京市/北京 ,https://www.shixiseng.com/intern/inn_m012eeghwg4v?pcm=pc_SearchList
智能机器人-强化学习方向-实习生," 【500强】ABB中国研究院 招聘  智能机器人—强化学习方向【实习生】 ABB作为全球500强公司之一，在电力设备、工业自动化领域一直占据全球领先地位。ABB在全球100多个国家设立了分支机构，雇员超过130, 000人。ABB(中国)研究院是ABB的全球7大研究院之一，在工业大数据、工业人工智能等领域一直从事开拓性的研发工作。   工作性质：研发实习生，只招聘在校学生 时间：原则上一周至少工作3天，至少3个月（具体可根据任务情况调整，实习时间长者优先） 待遇：根据具体工作时间浮动，约2-4k每月 地点：北京市朝阳区酒仙桥路10号恒通商务园 ABB大厦   工作职责： AI在工业机器人领域的应用； 强化学习算法的开发与调试； 计算机视觉和图像处理等； 数据处理，文献搜索，内部分享等。   要求： - 专业不限； - 在读本科、硕士或博士研究生； - 熟练使用Python, C/C++, MATLAB中的一种或多种； - 熟悉2D&3D计算机视觉常用算法的原理，熟悉经典机器学习，深度学习，强化学习的原理和应用； - 时长： ≥ 3月, 更长时间者优先； - 福利：公司在将台站附近，免费班车：北京市有多趟公司班车路线。 ",ABB,企业服务 咨询 ,"外资企业
",2000人以上 , 实习 500强 ,北京 ,https://www.shixiseng.com/intern/inn_tavuey8xkgar?pcm=pc_SearchList
机器学习实习生, 工作职责：  1、机器学习算法的研究与应用  任职要求：  1、在机器学习、自然语言处理、数据挖掘、人工智能等相关领域有一定基础，本硕博均可  2、熟练使用一种或多种编程语言，如Python、C/C++、Java，有较强的算法和数据结构功底  3、熟练使用MySQL，熟悉数据库基本操作 4、良好的自我驱动能力、学习能力，对工作认真负责，踏实可靠 4、研究发表论文/工程代码类工作均可，工作时间兼职/全职均可  优先条件：  1、有相关领域研究经历，在NIPS ICML KDD ICLR AAAI CVPR ACL EMNLP等会议或期刊上发表过论文  2、熟悉相关领域前沿技术，在各类比赛（如KDD CUP，Kaggle，天池等）取得过优秀名次 3、有相关领域的实习经历，熟悉大数据在业务场景下的应用 4、熟悉深度学习算法，有深度学习模型开发经验   ,滴滴出行,互联网 游戏 软件 ,"民营企业
",2000人以上 , 互联网 高逼格大厦 名企实习 各种福利 广阔平台 ,全国 ,https://www.shixiseng.com/intern/inn_psti8woeuwqg?pcm=pc_SearchList
实习算法工程师, 工作职责： （1）开展计算机视觉相关领域研究和开发工作，包括但不限于：图像 / 视频的语义分割、实例分割、目标跟踪、生成问题、艺术风格迁移等； （2）提出和实现最前沿的算法，保持算法在工业界和学术界的领先； （3）协助与工程化团队进行算法解决方案设计、实现、性能优化、应用落地； （4）积极协助推进从先进算法研究到产品开发的思路； 任职要求： （1）计算机等相关专业本科及以上学历，有计算机视觉、模式识别、机器学习等相关方向研究或实习经验； （2）在计算机视觉有深入研究者优先，如相关技术做到SOTA、发过顶会paper或者在相关竞赛中取得优秀的成绩等； （3）精通Python 或 C++ 编程语言，具备良好的算法设计、编码及验证能力； （4）精通Pytorch、TensorFlow等主流深度学习框架，并有相关项目实践经验者优先； （5）有深度学习模型压缩、性能优化，或移动端神经网络应用经验者优先； （6）能够了解一些前沿研究成果和趋势，具有一定的技术视野、创造性思维和想象力。 ,Versa,互联网 游戏 软件 ,"民营企业
",50-150人 , 人工智能 视觉创作 艺术家 线上实习 直通offer 现金奖励 时间自由 实习证明 ,上海 ,https://www.shixiseng.com/intern/inn_cwnvh5vgbt3z?pcm=pc_SearchList
建模工程师-20/21届毕业生, 工作职责： 1、负责整理分析制冷系统记录的历史数据，并形成分析报告； 2、搭建制冷系统中各个设备的模型，并进行验证； 3、进行数据挖掘，分析运行过程中的问题，形成建议； 4、负责将数据分析，挖掘，建模过程标准化，并形成标准工具； 5、为销售团队提供技术支持，包括并不限于讲解数据分析报告； 6、定期对数据进行维护、检查、分析，并自作月报季报等； 任职要求： 1、良好的数学基础（例如线性代数、概率论、高等数学等）； 2、暖通空调/热动等相关专业（硕士或以上学历）； 3、熟练使用python、SQL等工具； 4、有机器学习、数据挖掘等相关领域的项目和工作经验； 5、优秀的分析问题和解决问题的能力。 ,叠腾科技,化工 能源 环保 ,"民营企业
",少于15人 , 可转正 志同道合 创业团队 AI算法 快速成长 超级人性化 ,上海市/上海 ,https://www.shixiseng.com/intern/inn_htma6kvbcf9q?pcm=pc_SearchList
人工智能实习生, 岗位职责： 1、负责国内外深度学习最新研究成果调研与实现； 2、负责基于集群的高性能运算和扩展能力的研究与实现； 3、解决研发过程中的各类技术问题。  任职要求： 1、计算机或相关专业本科毕业； 2、熟练使用Java、Python、SQL，有高性能、分布式计算开发经验者优先； 3、熟悉linux操作系统，能够编写shell脚本； 4、数学基础扎实，熟练掌握概率论、线性代数基本知识； 5、熟悉机器学习算法，了解主流深度学习算法原理，如CNN、RNN等，了解GoogLeNet； 6、有至少一种深度学习框架使用经验，能独立建立深度学习模型，并具备模型参数优化能力，有图像识别经验者优先； 7、英语熟练，可以阅读英文论文 ,滴滴出行,互联网 游戏 软件 ,"民营企业
",2000人以上 , 互联网 高逼格大厦 名企实习 各种福利 广阔平台 ,全国 ,https://www.shixiseng.com/intern/inn_cxywscbyoehy?pcm=pc_SearchList
