gameName,url,2020-4-29,2020-4-28,2020-4-27,2020-4-26,2020-4-25,2020-4-24,2020-4-23,2020-4-22,2020-4-21,2020-4-20,2020-4-19,2020-4-18,2020-4-17,2020-4-16,2020-4-15,2020-4-14,2020-4-13,2020-4-12,2020-4-11,2020-4-10,2020-4-9,2020-4-8,2020-4-7,2020-4-6,2020-4-5,2020-4-4,2020-4-3,2020-4-2,2020-4-1,2020-3-31
PLAYERUNKNOWN'S BATTLEGROUNDS,https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1587582005,429,609,438,500,1077,449,410,370,363,515,414,435,403,385,337,348,356,346,389,343,333,353,976,650,584,584,545,519,393,0
Alien: Isolation,https://steamcdn-a.akamaihd.net/steam/apps/214490/header.jpg?t=1587920608,0,2,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,42,21,0
无主之地3,https://steamcdn-a.akamaihd.net/steam/apps/397540/header.jpg?t=1587675179,82,71,87,72,71,52,36,35,29,35,34,31,22,14,22,18,18,21,26,14,23,17,13,11,30,41,53,32,31,0
Remnant: From the Ashes,https://steamcdn-a.akamaihd.net/steam/apps/617290/header.jpg?t=1586895275,1,4,2,1,4,1,2,1,1,4,1,3,2,5,3,1,3,0,4,6,1,2,3,5,4,3,5,2,5,0
无主之地3,https://steamcdn-a.akamaihd.net/steam/apps/397540/header.jpg?t=1587675179,82,71,87,72,71,52,36,35,29,35,34,31,22,14,22,18,18,21,26,14,23,17,13,11,30,41,53,32,33,0
Grand Theft Auto V,https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1586539531,193,145,142,133,216,106,95,115,117,92,114,111,109,100,135,389,130,115,121,132,131,116,100,112,80,91,95,106,85,0
Total War™: ROME II - Emperor Edition,https://steamcdn-a.akamaihd.net/steam/apps/214950/header.jpg?t=1588000236,0,0,3,3,1,4,3,3,1,5,2,0,0,2,0,2,3,2,2,1,2,1,1,1,1,6,4,3,3,0
Red Dead Redemption 2,https://steamcdn-a.akamaihd.net/steam/apps/1174180/header.jpg?t=1583253547,42,23,38,32,41,38,24,25,28,33,33,31,19,20,25,19,29,35,20,43,30,34,32,20,32,19,23,21,15,0
MORDHAU,https://steamcdn-a.akamaihd.net/steam/apps/629760/header_alt_assets_0.jpg?t=1585244772,14,19,11,10,7,11,15,10,19,14,10,16,18,16,12,15,15,9,17,11,15,11,11,14,15,23,18,8,14,0
Disco Elysium,https://steamcdn-a.akamaihd.net/steam/apps/632470/header.jpg?t=1588001802,7,4,7,6,7,8,3,4,4,2,4,8,5,4,1,1,3,3,3,3,1,2,5,3,2,6,8,4,7,0
HYPERCHARGE: Unboxed,https://steamcdn-a.akamaihd.net/steam/apps/523660/header_alt_assets_0.jpg?t=1588039524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,0
Green Hell,https://steamcdn-a.akamaihd.net/steam/apps/815370/header.jpg?t=1586347791,0,0,0,0,0,0,3,23,68,75,59,89,82,37,44,34,17,20,23,24,18,18,11,11,11,8,11,16,13,0
Football Manager 2020,https://steamcdn-a.akamaihd.net/steam/apps/1100600/header.jpg?t=1584981392,6,2,7,5,3,2,3,2,2,2,1,1,3,3,2,0,2,4,0,1,1,2,1,1,2,6,0,1,1,0
Total War Saga: THRONES OF BRITANNIA,https://steamcdn-a.akamaihd.net/steam/apps/712100/header.jpg?t=1587999746,1,1,3,1,3,0,2,1,0,0,1,2,1,0,1,0,0,1,3,1,1,1,2,1,3,2,2,1,4,0
Tabletop Simulator,https://steamcdn-a.akamaihd.net/steam/apps/286160/header.jpg?t=1587678573,1,3,0,0,4,11,3,3,2,4,2,6,2,0,1,2,1,4,2,3,1,2,3,1,0,2,4,1,0,0
DOOM Eternal,https://steamcdn-a.akamaihd.net/steam/apps/782330/header.jpg?t=1585834350,63,69,44,55,52,45,43,43,30,27,26,39,38,29,13,18,17,19,27,29,26,20,20,25,25,24,18,11,12,0
Total War: Shogun 2 - Blood Pack DLC,https://steamcdn-a.akamaihd.net/steam/apps/201272/header.jpg?t=1571754133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Half-Life: Alyx,https://steamcdn-a.akamaihd.net/steam/apps/546560/header.jpg?t=1584985275,8,9,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phantom Doctrine,https://steamcdn-a.akamaihd.net/steam/apps/559100/header.jpg?t=1582018402,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
