,gameName,url,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,2020/4/17,2020/4/18,2020/4/19,2020/4/20,2020/4/21,2020/4/22,2020/4/23,2020/4/24,2020/4/25,2020/4/26,2020/4/27,2020/4/28,2020/4/29,,,,,,,,,,,,,,,,,,
0,PLAYERUNKNOWN'S BATTLEGROUNDS,https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1587582005,393,912,1457,2041,2625,3275,4251,4604,4937,5280,5669,6015,6371,6719,7056,7441,7844,8279,8693,9208,9571,9941,10351,10800,11877,12377,12815,13424,13853,,,,,,,,,,,,,,,,,,
1,Alien: Isolation,https://steamcdn-a.akamaihd.net/steam/apps/214490/header.jpg?t=1587920608,21,63,69,69,69,69,69,69,69,69,69,69,69,69,71,71,71,71,71,71,73,73,73,76,76,76,76,78,78,,,,,,,,,,,,,,,,,,
2,无主之地3,https://steamcdn-a.akamaihd.net/steam/apps/397540/header.jpg?t=1587675179,31,63,116,157,187,198,211,228,251,265,291,312,330,348,370,384,406,437,471,506,535,570,606,658,729,801,888,959,1041,,,,,,,,,,,,,,,,,,
3,Remnant: From the Ashes,https://steamcdn-a.akamaihd.net/steam/apps/617290/header.jpg?t=1586895275,5,7,12,15,19,24,27,29,30,36,40,40,43,44,47,52,54,57,58,62,63,64,66,67,71,72,74,78,79,,,,,,,,,,,,,,,,,,
5,Grand Theft Auto V,https://steamcdn-a.akamaihd.net/steam/apps/271590/header.jpg?t=1586539531,85,191,286,377,457,569,669,785,916,1048,1169,1284,1414,1803,1938,2038,2147,2258,2372,2464,2581,2696,2791,2897,3113,3246,3388,3533,3726,,,,,,,,,,,,,,,,,,
6,Total War�? ROME II - Emperor Edition,https://steamcdn-a.akamaihd.net/steam/apps/214950/header.jpg?t=1588000236,3,6,10,16,17,18,19,20,22,23,25,27,30,32,32,34,34,34,36,41,42,45,48,52,53,56,59,59,59,,,,,,,,,,,,,,,,,,
7,Red Dead Redemption 2,https://steamcdn-a.akamaihd.net/steam/apps/1174180/header.jpg?t=1583253547,15,36,59,78,110,130,162,196,226,269,289,324,353,372,397,417,436,467,500,533,561,586,610,648,689,721,759,782,824,,,,,,,,,,,,,,,,,,
8,MORDHAU,https://steamcdn-a.akamaihd.net/steam/apps/629760/header_alt_assets_0.jpg?t=1585244772,14,22,40,63,78,92,103,114,129,140,157,166,181,196,208,224,242,258,268,282,301,311,326,337,344,354,365,384,398,,,,,,,,,,,,,,,,,,
9,Disco Elysium,https://steamcdn-a.akamaihd.net/steam/apps/632470/header.jpg?t=1588001802,7,11,19,25,27,30,35,37,38,41,44,47,50,51,52,56,61,69,73,75,79,83,86,94,101,107,114,118,125,,,,,,,,,,,,,,,,,,
10,HYPERCHARGE: Unboxed,https://steamcdn-a.akamaihd.net/steam/apps/523660/header_alt_assets_0.jpg?t=1588039524,12,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,,,,,,,,,,,,,,,,,,
11,Green Hell,https://steamcdn-a.akamaihd.net/steam/apps/815370/header.jpg?t=1586347791,13,29,40,48,59,70,81,99,117,141,164,184,201,235,279,316,398,487,546,621,689,712,715,715,715,715,715,715,715,,,,,,,,,,,,,,,,,,
12,Football Manager 2020,https://steamcdn-a.akamaihd.net/steam/apps/1100600/header.jpg?t=1584981392,1,2,2,8,10,11,12,14,15,16,16,20,22,22,24,27,30,31,32,34,36,38,41,43,46,51,58,60,66,,,,,,,,,,,,,,,,,,
13,Total War Saga: THRONES OF BRITANNIA,https://steamcdn-a.akamaihd.net/steam/apps/712100/header.jpg?t=1587999746,4,5,7,9,12,13,15,16,17,18,21,22,22,22,23,23,24,26,27,27,27,28,30,30,33,34,37,38,39,,,,,,,,,,,,,,,,,,
14,Tabletop Simulator,https://steamcdn-a.akamaihd.net/steam/apps/286160/header.jpg?t=1587678573,0,1,5,7,7,8,11,13,14,17,19,23,24,26,27,27,29,35,37,41,43,46,49,60,64,64,64,67,68,,,,,,,,,,,,,,,,,,
