itemTitle,itemPrice,itemShop,itemUrl,itemSale,itemComment,shopUrl,itemHash
回力外穿夏季防滑凉拖鞋居家浴室塑料拖鞋男士室内家用洗澡托鞋女,19.99,回力煌至专卖店,https://detail.tmall.com/item.htm?id=568437001924&skuId=4501549047599&areaId=420100&user_id=2939664514&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,5.5万笔,16万,//store.taobao.com/search.htm?user_number_id=2939664514&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,8d5ed81fcc52927af3d9030322a4c8ce
木林森凉鞋男夏季2020新款休闲沙滩鞋男真皮爸爸牛皮两用凉拖鞋男,99.00,木林森博睿专卖店,https://detail.tmall.com/item.htm?id=613245721045&skuId=4490199115981&areaId=420100&user_id=2219652732&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,13万笔,5.0万,//store.taobao.com/search.htm?user_number_id=2219652732&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,2849a4de260ae081bd2e4e75e98d906b
回力洞洞鞋男夏季情侣沙滩鞋男女凉拖韩版凉拖鞋防滑凉鞋包头拖鞋,24.90,回力甲乙丙丁专卖店,https://detail.tmall.com/item.htm?id=18573525591&skuId=61122526885&areaId=420100&user_id=1640495040&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2.7万笔,10万,//store.taobao.com/search.htm?user_number_id=1640495040&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,4a9fe3ac8eb20287379979abbbf9f422
木林森凉鞋男士真皮2020夏季新款休闲沙滩男鞋两用外穿爸爸凉拖鞋,89.00,木林森乐诚专卖店,https://detail.tmall.com/item.htm?id=588715817472&skuId=4285479567051&areaId=420100&user_id=2986258919&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,13万笔,7.9万,//store.taobao.com/search.htm?user_number_id=2986258919&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,695d74b85084e9f22d2ee06976141e81
回力凉拖鞋男士夏季居家室内浴室洗澡凉拖家用外穿女家居防滑托鞋,28.90,回力煌至专卖店,https://detail.tmall.com/item.htm?id=612496382283&skuId=4611686630923770187&areaId=420100&user_id=2939664514&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1.1万笔,3160,//store.taobao.com/search.htm?user_number_id=2939664514&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,d1dead75d3be868a084d236da45628db
回力凉拖鞋男士夏季洗澡防滑耐磨厚底室内软底家用塑料托鞋女夏天,23.90,左逸家居专营店,https://detail.tmall.com/item.htm?id=613221441387&skuId=4489971467154&areaId=420100&user_id=2102608800&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,8393笔,2449,//store.taobao.com/search.htm?user_number_id=2102608800&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,30451411d8babf90f741c033efe3eacf
凉拖鞋夏天家用男士夏季室内居家浴室洗澡防滑软底情侣防臭托鞋女,24.80,左逸家居专营店,https://detail.tmall.com/item.htm?id=584587793130&skuId=4117353814448&areaId=420100&user_id=2102608800&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,3.6万笔,7.3万,//store.taobao.com/search.htm?user_number_id=2102608800&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,d18b6257f128edcf28287e663c6d65e1
回力男士拖鞋夏季新款人字拖男潮流防滑软底休闲凉拖夹脚室外男拖,29.00,回力乐凡专卖店,https://detail.tmall.com/item.htm?id=552089083779&skuId=3543054010206&areaId=420100&user_id=667645052&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,2528笔,3549,//store.taobao.com/search.htm?user_number_id=667645052&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,4fa742bd377d5a8ce3f5262460da48c8
朴西拖鞋女夏天家用室内情侣防滑浴室洗澡居家外穿凉拖鞋家居厚底,39.80,朴西家纺专营店,https://detail.tmall.com/item.htm?id=611062096581&skuId=4474547202125&areaId=420100&user_id=2723127225&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1.7万笔,1.1万,//store.taobao.com/search.htm?user_number_id=2723127225&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,5bde61e5c28e2ce486412b15dbb194fd
路路佳凉拖鞋男士夏季居家室内防滑浴室拖鞋家用厚底女凉拖鞋男托,21.90,loloka凝梦专卖店,https://detail.tmall.com/item.htm?id=549547459165&skuId=4611686567974847069&areaId=420100&user_id=2187889789&cat_id=2&is_b=1&rn=5c6cd91b7cb0581fd0eb7958a975c22a,1.0万笔,3.1万,//store.taobao.com/search.htm?user_number_id=2187889789&rn=5c6cd91b7cb0581fd0eb7958a975c22a&keyword=拖鞋,246f593879ac3c95774274e236625b29
